strategy,budget,mean_dice,std_dice
No Correction,0.05,0.0014090756053258538,0.0004763971313465909
No Correction,0.1,0.0014090756053258538,0.0004763971313465909
No Correction,0.2,0.0014090756053258538,0.0004763971313465909
No Correction,0.3,0.0014090756053258538,0.0004763971313465909
No Correction,0.5,0.0014090756053258538,0.0004763971313465909
Random,0.05,0.04778157473772361,0.02829178515296785
Random,0.1,0.13267311894377376,0.056867327961071086
Random,0.2,0.2369964519894021,0.081164897555092
Random,0.3,0.3676027883413182,0.10665369780173886
Random,0.5,0.5094958861765926,0.13199203409646926
Uniform,0.05,0.07104796075151917,0.016706808841903543
Uniform,0.1,0.12186141196391267,0.03939170408326519
Uniform,0.2,0.2195252091854873,0.07651887800606035
Uniform,0.3,0.329946471116348,0.08902060731225545
Uniform,0.5,0.5183267833662083,0.10284040763826238
Uncertainty-Only,0.05,0.0014090756053258538,0.0004763971313465909
Uncertainty-Only,0.1,0.0014090756053258538,0.0004763971313465909
Uncertainty-Only,0.2,0.0014090756053258538,0.0004763971313465909
Uncertainty-Only,0.3,0.001409777455718885,0.0004761541032164764
Uncertainty-Only,0.5,0.0015360429307745395,0.0005816603858221064
Impact-Only,0.05,0.15693534488665256,0.05339344682420655
Impact-Only,0.1,0.2866891125784022,0.10240966415455945
Impact-Only,0.2,0.4933913227066141,0.1692009613415316
Impact-Only,0.3,0.7228241207853513,0.15746519203413478
Impact-Only,0.5,0.9260130154052957,0.058849622615350594
IWUO,0.05,0.1416182258653945,0.0761506452100898
IWUO,0.1,0.26308108306247047,0.12601769367049118
IWUO,0.2,0.46446508169368317,0.19856832846938252
IWUO,0.3,0.6372456999267202,0.23326234677570953
IWUO,0.5,0.9177531041493379,0.06036166822862371
